Region,L1,PRE,UNDEFINED,UOPS,FE,L3I,MEM,L2,INT,L3,RTM,FP,BR,STALL,TLB,OFFCORE
Nyx::remove_virtual_particles(),0.02331878319972159,0.0,nan,0.0,1.0,0.3881402988219931,0.09460270520733695,1.0,0.0,0.0,nan,0.008732629709097509,0.0,0.0,0.027165569349660613,0.006241954917989498
Nyx::setup_virtual_particles(),0.07119776070279693,0.0,nan,1.0,0.0,0.0,0.9133668121606903,0.9654627941092518,0.0,0.0,nan,0.0,0.24988951554732655,0.037669529625506085,0.03910142442299377,0.039885713654599496
Nyx::strang_hydro(),0.0,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nan,0.0,0.0,0.0,0.09536286092057153,0.0
analriem,0.06231984047853853,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.14509002730604062,0.0003964362622974901,0.0
ctoprim,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.01860154502754943,0.0,0.0
loop1,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.06778224747210751,0.02376979200286295,0.0
loop2,0.0010748929019128177,0.0,nan,0.0,0.0,0.0,1.0,0.00020292852580609358,0.0,0.0,nan,0.0024911931922078703,0.0,0.0821763483651886,0.05972790318519696,0.0011891741847007845
loop3,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.000612029358282824,nan,0.0013192656767394581,0.0,0.024080591730683255,0.061237363490657705,0.0027925380068797383
loop4,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0011215038664334526,nan,0.0,0.0,0.026684158870213633,0.03348251898641471,0.0019209792382027088
loop5,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.022366185240204346,0.0,0.004282705444444655,nan,0.0,0.0,0.0,0.03592563028670147,0.02683525878906849
loop6,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.6561985100367134,0.0,0.0,nan,0.00025083126744587347,0.0,0.0,0.6562082394334054,0.003554069730678346
loop7,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0022453535828868007,0.0,0.012216935947031375,nan,0.0032544499877191573,0.0,0.06905612250915767,0.0036508290005124308,0.0010107883981514607
loop8,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0004818530536074632,0.0,0.024616933802575604,nan,0.0,0.0,0.10472667156733104,0.10007542098893664,0.0
loop9,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.020642673918300512,nan,0.0,0.0,0.06630861089818169,0.0,0.0038393088062573023
main,0.0,0.0,nan,0.0,0.0,1.0,0.9504097517778525,0.9305854118925254,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0
passive_advection,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.07037440208312193,0.0,0.0,nan,0.0,0.0,0.15295369464005115,0.1677433844385227,0.0
x_direction,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.22658157465030024,0.49892090586272886,0.0
y_direction,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.08910680810412026,0.01399324222612742,0.0
z_direction,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.04011241830473269,0.0,0.1537203688867078,0.016323926687751834,0.0
